index,Artist Name,Artist_id,Track Name,Track ID,Popularity,acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence,Genre
283,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,Pyro,0umDVf77ygI5RiVp9OvNDj,67,0.00757,0.365,250533,0.606,0.052,1,0.103,0,-7.174,114.995,4,0.0415,0.191,rock
95,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Howlin' for You,0grFc6klR3hxoHLcgCYsF4,66,0.028,0.705,191800,0.735,0.0783,11,0.112,1,-6.646,132.627,4,0.0931,0.448,rock
220,P!nk,1KCSPY1glIKqW2TotWuXOR,F**kin' Perfect,3MGJF1CDFGfjXESL2Heva0,66,0.0412,0.565,213413,0.646,0.0,7,0.362,1,-4.749,91.973,4,0.0335,0.481,pop
173,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,Welcome to the Family,0jqblvsI9LBY4irmLVqqEO,66,0.00267,0.567,245573,0.946,0.0,2,0.0567,0,-3.973,94.985,4,0.0935,0.699,alternative metal
72,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Whatcha Say,67T6l4q3zVjC5nZZPXByU8,66,0.0444,0.615,221253,0.711,0.0,11,0.145,1,-5.507,144.036,4,0.0779,0.711,edm
151,Jeremih,3KV3p5EY4AvKxOlhGHORLg,Love Don't Change,6PmjWl0phNxc0R5OwkDdiZ,66,0.317,0.539,256867,0.424,0.0,11,0.108,1,-9.361,118.071,4,0.0406,0.17,pop
452,Aloe Blacc,0id62QV2SZZfvBn9xpmuCl,I Need A Dollar,3oUphdZVPyrsprZ8FgbmQS,66,0.199,0.84,243053,0.481,0.0,6,0.0873,0,-7.123,95.497,4,0.0336,0.955,r&b
303,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,So Far Away,7Hr1Ignop7cymbE3FbOtXa,65,0.00847,0.286,326813,0.703,7.39e-05,4,0.142,0,-4.491,151.297,4,0.0348,0.259,alternative metal
295,P!nk,1KCSPY1glIKqW2TotWuXOR,F**kin' Perfect - Radio Edit,3ueoTboomKEQpI3r9z47Kg,65,0.0418,0.561,213720,0.653,0.0,7,0.347,1,-4.918,91.961,4,0.0349,0.496,pop
97,Drake,3TVXtAsR1Inumwj472S9r4,Up All Night,75L0qdzRnhwV62UXoNq3pE,65,0.00782,0.606,234333,0.811,1.49e-05,7,0.349,1,-4.667,156.347,4,0.278,0.276,hip hop
142,Keri Hilson,63wjoROpeh5f11Qm93UiJ1,Pretty Girl Rock,2Adn2LNgkHMH5TelQVAu4n,65,0.203,0.666,243920,0.87,0.0,11,0.0851,0,-5.004,160.014,4,0.246,0.9,r&b
119,Katy Perry,6jJ0s89eD6GaHleKKya26X,E.T.,4kkeuVl6gF3RMqE4Nn5W3E,65,0.0178,0.602,206373,0.863,0.0,5,0.389,0,-5.423,150.183,4,0.0773,0.732,pop
163,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Did It On’em,6Slt6WiWnriaqCb8xXb2ZT,65,0.0445,0.562,212347,0.414,0.0,7,0.204,1,-7.032,155.826,4,0.349,0.474,pop
138,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Magic (feat. Rivers Cuomo),5uHYcK0nbEYgRaFTY5BqnP,65,0.0127,0.549,196133,0.932,0.0,8,0.347,0,-4.11,82.439,4,0.343,0.787,hip hop
104,Drake,3TVXtAsR1Inumwj472S9r4,Find Your Love,4BycRneKmOs6MhYG9THsuX,65,0.0211,0.627,208947,0.614,0.0,6,0.0286,0,-6.006,96.038,4,0.17,0.758,hip hop
160,Alan Jackson,4mxWe1mtYIYfP040G38yvS,It's Five O'Clock Somewhere,5oHHMDcVOmPSFrCgdbHPdb,65,0.208,0.713,230133,0.772,0.0,2,0.211,1,-6.69,125.202,4,0.0372,0.88,country
116,Taio Cruz,6MF9fzBmfXghAz953czmBC,Dynamite,1DqdF42leyFIzqNDv9CjId,65,0.00332,0.754,203867,0.804,0.0,4,0.0329,1,-3.177,119.968,4,0.0853,0.818,edm
93,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Mine,0dBW6ZsW8skfvoRfgeerBF,65,0.00265,0.624,230707,0.757,1.87e-06,7,0.189,1,-2.94,121.07,4,0.0296,0.658,pop
